y,left_boundary,right_boundary,width,center
0,-1,-1,0,-1.0
1,-1,-1,0,-1.0
2,-1,-1,0,-1.0
3,-1,-1,0,-1.0
4,-1,-1,0,-1.0
5,-1,-1,0,-1.0
6,-1,-1,0,-1.0
7,-1,-1,0,-1.0
8,-1,-1,0,-1.0
9,-1,-1,0,-1.0
10,-1,-1,0,-1.0
11,-1,-1,0,-1.0
12,-1,-1,0,-1.0
13,-1,-1,0,-1.0
14,-1,-1,0,-1.0
15,-1,-1,0,-1.0
16,-1,-1,0,-1.0
17,-1,-1,0,-1.0
18,-1,-1,0,-1.0
19,-1,-1,0,-1.0
20,-1,-1,0,-1.0
21,-1,-1,0,-1.0
22,-1,-1,0,-1.0
23,-1,-1,0,-1.0
24,-1,-1,0,-1.0
25,-1,-1,0,-1.0
26,-1,-1,0,-1.0
27,-1,-1,0,-1.0
28,-1,-1,0,-1.0
29,-1,-1,0,-1.0
30,-1,-1,0,-1.0
31,-1,-1,0,-1.0
32,-1,-1,0,-1.0
33,-1,-1,0,-1.0
34,-1,-1,0,-1.0
35,-1,-1,0,-1.0
36,-1,-1,0,-1.0
37,-1,-1,0,-1.0
38,-1,-1,0,-1.0
39,-1,-1,0,-1.0
40,-1,-1,0,-1.0
41,-1,-1,0,-1.0
42,-1,-1,0,-1.0
43,-1,-1,0,-1.0
44,-1,-1,0,-1.0
45,-1,-1,0,-1.0
46,-1,-1,0,-1.0
47,-1,-1,0,-1.0
48,-1,-1,0,-1.0
49,-1,-1,0,-1.0
50,-1,-1,0,-1.0
51,-1,-1,0,-1.0
52,-1,-1,0,-1.0
53,-1,-1,0,-1.0
54,-1,-1,0,-1.0
55,-1,-1,0,-1.0
56,-1,-1,0,-1.0
57,-1,-1,0,-1.0
58,-1,-1,0,-1.0
59,-1,-1,0,-1.0
60,-1,-1,0,-1.0
61,-1,-1,0,-1.0
62,-1,-1,0,-1.0
63,-1,-1,0,-1.0
64,-1,-1,0,-1.0
65,-1,-1,0,-1.0
66,-1,-1,0,-1.0
67,-1,-1,0,-1.0
68,-1,-1,0,-1.0
69,-1,-1,0,-1.0
70,-1,-1,0,-1.0
71,-1,-1,0,-1.0
72,-1,-1,0,-1.0
73,-1,-1,0,-1.0
74,-1,-1,0,-1.0
75,-1,-1,0,-1.0
76,-1,-1,0,-1.0
77,-1,-1,0,-1.0
78,-1,-1,0,-1.0
79,-1,-1,0,-1.0
80,229,284,56,256.5
81,225,288,64,256.5
82,221,292,72,256.5
83,217,296,80,256.5
84,213,300,88,256.5
85,209,304,96,256.5
86,205,308,104,256.5
87,204,310,107,257.0
88,204,310,107,257.0
89,204,310,107,257.0
90,204,310,107,257.0
91,204,310,107,257.0
92,204,310,107,257.0
93,204,310,107,257.0
94,204,310,107,257.0
95,204,310,107,257.0
96,204,310,107,257.0
97,204,310,107,257.0
98,204,310,107,257.0
99,204,310,107,257.0
100,204,310,107,257.0
101,204,310,107,257.0
102,204,310,107,257.0
103,204,310,107,257.0
104,204,310,107,257.0
105,204,310,107,257.0
106,204,310,107,257.0
107,204,310,107,257.0
108,204,310,107,257.0
109,204,310,107,257.0
110,204,310,107,257.0
111,204,310,107,257.0
112,204,310,107,257.0
113,204,310,107,257.0
114,204,310,107,257.0
115,204,310,107,257.0
116,204,310,107,257.0
117,204,310,107,257.0
118,204,310,107,257.0
119,204,310,107,257.0
120,204,310,107,257.0
121,204,310,107,257.0
122,204,310,107,257.0
123,204,310,107,257.0
124,204,310,107,257.0
125,204,310,107,257.0
126,204,310,107,257.0
127,204,310,107,257.0
128,204,310,107,257.0
129,204,310,107,257.0
130,204,310,107,257.0
131,204,310,107,257.0
132,204,310,107,257.0
133,204,310,107,257.0
134,204,310,107,257.0
135,204,310,107,257.0
136,204,310,107,257.0
137,204,310,107,257.0
138,204,310,107,257.0
139,204,310,107,257.0
140,204,310,107,257.0
141,204,310,107,257.0
142,204,310,107,257.0
143,204,310,107,257.0
144,204,309,106,256.5
145,204,309,106,256.5
146,204,309,106,256.5
147,204,308,105,256.0
148,204,308,105,256.0
149,204,308,105,256.0
150,204,308,105,256.0
151,204,308,105,256.0
152,204,308,105,256.0
153,204,308,105,256.0
154,205,307,103,256.0
155,205,307,103,256.0
156,205,307,103,256.0
157,205,307,103,256.0
158,205,307,103,256.0
159,205,307,103,256.0
160,205,307,103,256.0
161,206,306,101,256.0
162,206,306,101,256.0
163,206,306,101,256.0
164,206,306,101,256.0
165,206,306,101,256.0
166,206,306,101,256.0
167,207,305,99,256.0
168,207,305,99,256.0
169,207,305,99,256.0
170,207,305,99,256.0
171,207,305,99,256.0
172,207,305,99,256.0
173,207,305,99,256.0
174,207,304,98,255.5
175,207,304,98,255.5
176,206,304,99,255.0
177,206,304,99,255.0
178,205,304,100,254.5
179,205,304,100,254.5
180,205,303,99,254.0
181,205,303,99,254.0
182,207,303,97,255.0
183,208,303,96,255.5
184,208,303,96,255.5
185,209,303,95,256.0
186,209,303,95,256.0
187,209,302,94,255.5
188,209,302,94,255.5
189,209,302,94,255.5
190,209,302,94,255.5
191,209,302,94,255.5
192,209,302,94,255.5
193,209,302,94,255.5
194,209,302,94,255.5
195,209,302,94,255.5
196,209,302,94,255.5
197,210,302,93,256.0
198,210,302,93,256.0
199,210,302,93,256.0
200,210,303,94,256.5
201,210,303,94,256.5
202,210,303,94,256.5
203,210,303,94,256.5
204,210,303,94,256.5
205,210,303,94,256.5
206,210,304,95,257.0
207,210,304,95,257.0
208,211,305,95,258.0
209,211,305,95,258.0
210,211,305,95,258.0
211,211,306,96,258.5
212,211,306,96,258.5
213,210,306,97,258.0
214,210,307,98,258.5
215,209,307,99,258.0
216,209,307,99,258.0
217,209,308,100,258.5
218,208,308,101,258.0
219,208,309,102,258.5
220,207,309,103,258.0
221,207,309,103,258.0
222,207,310,104,258.5
223,207,310,104,258.5
224,206,310,105,258.0
225,206,310,105,258.0
226,206,310,105,258.0
227,205,310,106,257.5
228,205,310,106,257.5
229,205,310,106,257.5
230,204,310,107,257.0
231,204,310,107,257.0
232,204,310,107,257.0
233,204,310,107,257.0
234,204,310,107,257.0
235,204,310,107,257.0
236,204,310,107,257.0
237,204,310,107,257.0
238,204,310,107,257.0
239,204,310,107,257.0
240,204,310,107,257.0
241,204,310,107,257.0
242,204,310,107,257.0
243,204,310,107,257.0
244,204,310,107,257.0
245,204,310,107,257.0
246,204,310,107,257.0
247,204,310,107,257.0
248,204,310,107,257.0
249,204,310,107,257.0
250,204,310,107,257.0
